pair_id,doi_r,title_r,abstract_r,year_r,authors_r,journal_r,url_r,openalex_id_r,source,ref_r,filter_status,filter_method,filter_evidence,filter_confidence,original_match_type,original_match_confidence,doi_o,title_o,year_o,authors_o,ref_o,link_method,link_evidence,link_confidence,link_llm_model,doi_o_verification,outcome,outcome_phrase,outcome_confidence,out_quote_source,outcome_reasoning,type,original_rank,n_originals
64ba887b9588d4b43ee9f2ff33062d74,10.1038/s41562-020-0878-x,A registered replication study on oxytocin and trust,,2020.0,Carolyn H. Declerck; Christophe Boone; Loren Pauwels; Bodo Vogt; Ernst Fehr,Nature Human Behaviour,,https://openalex.org/W3033625555,openalex,Declerck · 2020 · Nature Human Behaviour,replication,both,"phrase:registered replication; no author-year cite | llm:""registered replication study on oxytocin and trust""",high,single_original,high,10.1038/nature03701,Oxytocin increases trust in humans,2005.0,Kosfeld,Kosfeld · 2005,llm_fulltext,The title 'A registered replication study on oxytocin and trust' and the inclusion of Kosfeld et al. (2005) in the reference list indicate that this paper is a direct replication of the seminal study on the topic.,high,gemini-3-flash-preview,verified,cannot_be_determined,nan,high,abstract,"The abstract is missing (provided as 'nan'), making it impossible to determine the replication outcome from the provided text.",replication,1,1
4fb8cb7e5afc5b35b221be0153653623,10.1111/bjhp.12331,Ethical issues surrounding the study of nocebo effects: Recommendations for deceptive research,"The nocebo effect has been described as the flip side to the placebo effect, whereby an adverse reaction is experienced by someone who receives an inert exposure (Kennedy, 1961). An inert exposure in this context is a substance or procedure that has no active medicinal or physiological properties able to directly influence the symptom experience in the receiver. Nocebo effects seem to primarily occur due to negative expectations (Webster, Weinman, & Rubin, 2016) and are commonly encountered in clinical practice (Colloca & Miller, 2011). Experimental nocebo research commonly involves some element of deception by misleading participants about the nature of the experimental stimulus. Such procedures are often essential – informing participants that the stimulus is inert may dramatically change their expectations of side effects and hence their subsequent symptom experience. This reliance on deception raises a number of ethical concerns, not least in terms of informed consent. Due to concerns about these potential negative effects, deception is not always received favourably by institutional ethics review boards, making nocebo effects notoriously difficult to study. However, whilst the adverse ethical implications of deceptive studies are a concern, the costs of not conducting deceptive research should also be considered. Nocebo effects are one of the underlying mechanisms for the development of non-specific side effects to medications (Barsky, Saintfort, Rogers, & Borus, 2002). In their recent overview, Benedetti and Shaibani (2018) note the importance of understanding nocebo effects as something different from placebo effects, explaining that more research is needed to understand these nocebo-induced side effects which may prove crucial in controlling treatment adherence and therefore patient outcomes. In addition, many nocebo researchers still claim that their participants provide informed consent for their studies, when logically this cannot be the case if they are deceived as to the nature of the exposure. For example, in a systematic review conducted by our team, the majority of studies incorrectly explained that participants gave informed consent (Webster, Weinman, & Rubin, 2016). Therefore, further discussion around these issues is clearly warranted. This editorial provides an overview of what deception is, the current guidelines for using deception, and its effects. We include recommendations for deceptive research and draw upon an example of a recent study conducted by our team. Although these suggestions will not resolve all ethical issues relating to nocebo research, they may help researchers navigate some of the key issues involved in this field. There is no one agreed definition of deception. Hey (1998) explains there is a difference between withholding information from participants and telling them the wrong thing; it is the latter which counts as deception. However, more recently, others have taken a broader view and include violations of participants’ default assumptions in their definition of deception. For example, according to Pierce (2008), withholding information can result in participants forming false beliefs about a study. Therefore, perhaps a more appropriate definition of deception in research is that which intentionally allows participants to have, or maintain, a belief that the investigator knows is not true. Although discouraged, deception is not ‘banned’ in social science research. The British Psychological Society (BPS) allows withholding information from participants in exceptional circumstances to preserve the research integrity (BPS, 2009). This is not a carte blanche for researchers, however. Additional requirements stipulate deception should only be used if: (1) There are no other effective procedures to obtain the desired results; (2) the research has a strong scientific merit; (3) there is an appropriate risk management and harm alleviation strategy; and (4) when deception is revealed, it is unlikely to lead to discomfort, anger, or objections from participants (BPS, 2014). The code also requires that participants can withdraw at any time and are debriefed as soon and as sensitively as possible after the study. In addition, deceptive studies should be designed to protect the dignity and autonomy of the participants, and withholding of information should be clearly specified in the protocol that is subjected to ethical review (BPS, 2014). Although allowed by the ethical guidelines, there is a contested trade-off between the need for deception and the consequences this could have on participants. Evidence, however, on its effects is mixed. In a review of studies assessing participants’ reactions to being involved in deception experiments, Christensen (1988) concluded that participants do not perceive that they have been harmed as a result and do not mind having been misled. Instead, participants enjoyed the experience more and felt they received more educational benefit than those who participated in non-deceptive experiments (Christensen, 1988). Kimmel (1998) also concludes that deception has minimal negative effects on participants and that they do not become resentful about being deceived. However, a more recent review by Hertwig and Ortmann (2008) noted that this is not always the case. For example, participants who have been deceived have been annoyed (Allen, 1983), and confederates have noted the angry reactions from participants once they find out they have been deceived (Oliansky, 1991). There are also broader effects of deception to consider. Deception has been suggested to affect the reputation of research teams and the discipline of psychology as a whole (Lawson, 2001). Indeed, studies have shown that deceived participants tend to be more suspicious of the truthfulness of experimenters, although this does not seem to affect their beliefs about psychologists’ trustworthiness in general (Cook et al., 1970). Similarly, no negative effects have been found on deceived participants’ attitudes towards psychological research (Kimmel, 1996; Sharpe, Adair, & Roese, 1992). The main reason why the evidence is so mixed is because the type of deception varies between studies (Hertwig & Ortmann, 2008). Unless a direct replication, no two studies deceive their participants in the same way. It seems logical that different types and degrees of deception will have different effects. For example, the BPS notes there is more likely to be a problem if the deception implies a more benign topic of study than is actually being carried out. However, in reality, it is hard to predict the effect any type of deception will have on participants as many studies fail to report how the deception was received by participants. Deceptive research, however, is still not risk-free, and researchers should be wary of any potential deleterious effects. There are various approaches that researchers can take as precautions. Although widely discussed in the context of reducing nocebo effects in clinical practice, authorized concealment (Wells & Kaptchuk, 2012), which would involve deciding what to tell research participants based on their characteristics and previous experiences, may not be a viable way to inform them about a study. Instead, some of our suggested approaches originate from placebo research, but can still be applied in the context of nocebo research as the element of deception is still the same – participants cannot be informed of the true nature of the exposure (i.e., that it is inert). There are concerns that informing participants about deception may compromise the study's validity almost as much as revealing its true nature and may also hinder recruitment. However, Martin and Katz (2010) have found that authorized deception does not affect the magnitude of placebo effects, recruitment, or retention of participants compared to non-authorized deception and is preferred to not alerting participants to the presence of deception. This suggests that the authorized deception is a viable and ethically preferable alternative consent process for deceptive studies. In addition, it is worth noting that authorized deception is the process that is currently used in double-blind clinical trials, often branded as the gold standard research design. Here, participants are told that they will either get the experimental drug or the placebo; however, they are openly informed that the information about which drug they are receiving will be withheld until the end of the trial. In a recent study by our team, we used authorized deception whilst making sure that information given to participants was as truthful as possible (Webster, Weinman, & Rubin, 2018). Our study involved a randomized controlled trial altering patient information leaflets (PILs) to reduce symptom attribution to a sham medicine (an inert tablet). We openly informed participants that information would be withheld from them. For example, they were told we could not reveal the type of tablet to avoid biasing their views about it and that the difference between the PILs included slight changes to the wording, to see whether this influenced their thoughts about the tablet, but that we could not reveal what the changes were. In addition, we correctly described the tablet as ‘a well-known tablet available without prescription’, and the leaflet was truthful for an inert tablet. For example, sections about taking too many tablets explained that this can cause more severe side effects as noted by Webster, Weinman, & Rubin (2016), whilst all potential side effects listed the common non-specific side effects reported during a nocebo response (Wells & Kaptchuk, 2012). Planning of the study was discussed with a PPI panel, to get their input on whether our approach was appropriate and how to minimize any ethical issues still further. In addition, all participants were debriefed at the end of data collection by informing them of the purpose of the study and what the tablet was. Participants had the opportunity to withdraw at this point, upholding their participant autonomy, and any feedback received from participants following the debrief was collated. No negative effects were found. Current guidelines include withholding information as deception and allow deception in psychological research under a strict set of conditions. Evidence from the literature suggests that criticisms of the potential negative effects of deception are often unfounded. Nonetheless, maintaining high ethical standards in such a controversial area is important. We propose a strategy that includes deception by omission whilst still being truthful where possible, authorized deception and debriefing, together with input from a PPI panel. Rebecca Webster, John Weinman, and James Rubin are affiliated to the National Institute for Health Research Health Protection Research Unit (NIHR HPRU) in Emergency Preparedness and Response at King's College London in partnership with Public Health England (PHE), in collaboration with the University of East Anglia and Newcastle University. The views expressed are those of the authors and not necessarily those of the NHS, the NIHR, and the Department of Health or Public Health England. All authors declare no conflict of interest.",2018.0,Rebecca Webster; John Weinman; G. James Rubin,British Journal of Health Psychology,,https://openalex.org/W2883051807,openalex,Webster · 2018 · British Journal of Health Psychology,replication,rule_based,"phrase:direct replication; cite:However, Martin and Katz (2010)",high,single_original,high,10.1007/bf03003218,Nocebo: The psychological induction of pain,1981.0,Schweiger,Schweiger · 1981.0,llm_fulltext,"Experimental nocebo research commonly involves some element of deception by misleading participants about the nature of the experimental stimulus. | DOI 10.1037/0002-9556.94.1.89 is not registered and no replacement was found | DOI corrected: 10.1037/0002-9556.94.1.89 is not registered; replaced with 10.1007/bf03003218 (""Nocebo: The psychologic induction of pain"")",low,gemini-3-flash-preview,verified,cannot_be_determined,Experimental nocebo research commonly involves some element of deception by misleading participants about the nature of the experimental stimulus. Such procedures are often essential – informing participants that the stimulus is inert may dramatically change their expectations of side effects and hence their subsequent symptom experience.,high,abstract,The abstract focuses on the ethical implications and definitions of nocebo research rather than reporting empirical results or a specific replication of the Schweiger (1981) study.,replication,1,1
5538cbaa2809b2fdd4003d0db8aadae8,10.17605/osf.io/x5b6d,"Replication of Schmidt and Besner (2008, JEPLMC, Exp 2)","Direct replication of Schmidt &amp; Besner, 2008. Materials and preliminary work collected by COS team, data collected by researchers outside of COS.",2015.0,Megan M. Kyc; Mark D. Cloud,Open Science Framework,,https://openalex.org/W2780226201,openalex,Kyc · 2015 · Open Science Framework,replication,rule_based,"phrase:replication of; cite:Besner, 2008",high,single_original,high,10.1037/0278-7393.34.1.116,"The Stroop effect and the relative proficiency of color naming and word reading: A test of the Cohen, Dunbar, and McClelland (1990) model",2008.0,Schmidt,Schmidt · 2008,llm_fulltext,"Direct replication of Schmidt & Besner, 2008. Materials and preliminary work collected by COS team, data collected by researchers outside of COS. | DOI 10.1037/0278-7393.34.1.116 is not registered and no replacement was found",high,gemini-3-flash-preview,no_metadata,cannot_be_determined,"Direct replication of Schmidt & Besner, 2008. Materials and preliminary work collected by COS team, data collected by researchers outside of COS.",high,abstract,The abstract states that a direct replication was conducted but does not provide any information regarding the results or whether the original findings were confirmed.,replication,1,1
aaac57342f64af07592f5f7e661a6ba1,10.17605/osf.io/gn3tv,Replication of Gervais and Norenzayan (2012) - Analytic Thinking Promotes Religious Disbelief,The goal of this project is to conduct a high-powered multi-site direct replication of the finding by Gervais &amp; Norenzayan that analytic thinking is correlated with and causes diminished religious belief.,2014.0,Robert Calin‐Jageman,OSF Preprints (OSF Preprints),,https://openalex.org/W2777876197,openalex,Calin‐Jageman · 2014 · OSF Preprints (OSF Preprints),replication,rule_based,phrase:replication of; cite:Gervais and Norenzayan (2012),high,single_original,high,10.1126/science.1215647,Analytic Thinking Promotes Religious Disbelief,2012.0,Gervais,Gervais · 2012.0,llm_fulltext,"The goal of this project is to conduct a high-powered multi-site direct replication of the finding by Gervais & Norenzayan that analytic thinking is correlated with and causes diminished religious belief. | DOI corrected: 10.1126/science.1218647 is not registered; replaced with 10.1126/science.1215647 (""Analytic Thinking Promotes Religious Disbelief"")",high,gemini-3-flash-preview,verified,cannot_be_determined,The goal of this project is to conduct a high-powered multi-site direct replication of the finding by Gervais & Norenzayan that analytic thinking is correlated with and causes diminished religious belief.,high,abstract,The abstract only states the objective of the replication project without reporting any results or conclusions regarding the success or failure of the replication.,replication,1,1
895aa477a007986290154e6e322b3834,10.17605/osf.io/d2epg,"The Effect of ""Heat-Priming"" on Hostile Perceptions",This is a direct replication of DeWall and Bushman's (2009) study demonstrating that priming participants with heat-related constructs increases perceptions of hostility relative to participants primed with either cold-related constructs or neutral constructs.,2013.0,Randy J. McCarthy,OSF Preprints (OSF Preprints),,https://openalex.org/W2778101318,openalex,McCarthy · 2013 · OSF Preprints (OSF Preprints),replication,rule_based,phrase:replication of; cite:DeWall and Bushman's (2009),high,single_original,high,10.1111/j.1467-9280.2009.02409.x,Hot under the collar in a lukewarm room: Emotional effects of exposure to hot-related words,2009.0,DeWall,DeWall · 2009,llm_fulltext,"This is a direct replication of DeWall and Bushman's (2009) study demonstrating that priming participants with heat-related constructs increases perceptions of hostility relative to participants primed with either cold-related constructs or neutral constructs. | DOI mismatch: 10.1111/j.1467-9280.2009.02409.x points to ""Evidence of Differential Meta-Accuracy"" (2009), not ""Hot under the collar in a lukewarm room: Emotional effects of exposure to hot-related words""",low,gemini-3-flash-preview,mismatch,cannot_be_determined,This is a direct replication of DeWall and Bushman's (2009) study demonstrating that priming participants with heat-related constructs increases perceptions of hostility relative to participants primed with either cold-related constructs or neutral constructs.,high,abstract,The abstract identifies the study as a replication and describes the original finding but does not state the results or whether the replication was successful.,replication,1,1
c6734d5340ba53c9d628bf25df6ce155,10.17605/osf.io/q8g7f,Registered Report for Replication of Sussman and Olivola (2011),"Direct replication and extension of: Sussman, A. B., &amp; Olivola, C. Y. (2011). Axe the tax: Taxes are disliked more than equivalent costs. Journal of Marketing Research, 48, 91–101. http://doi.org/10.1509/jmkr.48.SPL.S91 The following pre-registrations were filed for this project: Pre-registration of in-principal accepted stage 1 report: osf.io/7pruq Pre-registration for analyses requested by reviewers: osf.io/nqg3e Pre-registration for pre-tests: osf.io/g2jbr",2018.0,Mark J. Brandt; Christoph Kogler; Erich Kirchler; Linda Dezső; Jerome Olsen,OSF Preprints (OSF Preprints),,https://openalex.org/W2900411997,openalex,Brandt · 2018 · OSF Preprints (OSF Preprints),replication,rule_based,phrase:replication of; cite:Sussman and Olivola (2011),high,single_original,high,10.1509/jmkr.48.spl.s91,Axe the tax: Taxes are disliked more than equivalent costs,2011.0,Sussman,Sussman · 2011,llm_fulltext,"Direct replication and extension of: Sussman, A. B., & Olivola, C. Y. (2011). Axe the tax: Taxes are disliked more than equivalent costs. Journal of Marketing Research, 48, 91–101.",high,gemini-3-flash-preview,verified,cannot_be_determined,"Direct replication and extension of: Sussman, A. B., & Olivola, C. Y. (2011). Axe the tax: Taxes are disliked more than equivalent costs. Journal of Marketing Research, 48, 91–101.",high,abstract,The abstract identifies the study as a direct replication and lists pre-registrations but does not provide any information regarding the results or findings of the replication.,replication,1,1
a68c13a3b19adbde98ad2852a32e112f,10.1080/23743603.2017.1378071,Due diligence: revisiting the heat–aggression association hypothesis,"Previous research has suggested that individuals hold cognitive associations between the constructs of hot temperatures and aggression. However, subsequent close replication attempts have cast doubt on the replicability of these effects. Therefore, the evidence for the existence of a cognitive heat–aggression association is mixed. A pilot study used a modified Affect Misattribution Procedure to examine whether exposure to heat-related words increased the accessibility of aggressive cognitions. The results of the pilot study showed that exposure to heat-related words increased the accessibility of aggressive cognitions relative to “comparison” trials (i.e. non-heat-related words and nonsense letter strings). I propose a direct replication of this pilot study, which will further test the existence of a heat–aggression association.",2017.0,Randy J. McCarthy,Comprehensive Results in Social Psychology,,https://openalex.org/W2766347877,openalex,McCarthy · 2017 · Comprehensive Results in Social Psychology,replication,both,phrase:replication of; no author-year cite | llm:“I propose a direct replication of this pilot study”,high,single_original,high,10.1111/j.1467-9280.2009.02355.x,Automatic effects of exposure to heat-related words on aggression: Test of the general aggression model,2009.0,DeWall,DeWall · 2009,llm_fulltext,"Study 1 was a high-powered, pre-registered replication of DeWall and Bushman’s (2009) Study 1. | DOI mismatch: 10.1111/j.1467-9280.2009.02355.x points to ""Serotonin Augmentation Reduces Response to Attack in Aggressive Individuals"" (2009), not ""Automatic effects of exposure to heat-related words on aggression: Test of the general aggression model""",low,gemini-3-flash-preview,mismatch,cannot_be_determined,"The results of the pilot study showed that exposure to heat-related words increased the accessibility of aggressive cognitions relative to “comparison” trials. I propose a direct replication of this pilot study, which will further test the existence of a heat–aggression association.",high,abstract,"The abstract reports positive results from a pilot study but concludes by proposing a future direct replication, indicating that the paper is a study proposal (likely a Stage 1 Registered Report) rather than a report of the final replication outcome.",replication,1,1
7515b1bbeace99f4a5dc7023c2bf4963,10.31234/osf.io/fg8yz,Are affective factors related to individual differences in facial expression recognition?,"Evidence that affective factors (e.g., anxiety, depression, affect) are significantly related to individual differences in emotion recognition is mixed. Palermo et al. (2018 Journal of Experimental Psychology: Human Perception and Performance) recently reported that individuals who scored lower in anxiety performed significantly better on two measures of facial-expression recognition (emotion-matching and emotion-labeling tasks), but not a third measure (the Multimodal Emotion Recognition Test). By contrast, facial- expression recognition was not significantly correlated with measures of depression, positive or negative affect, empathy, or autistic-like traits. Because the range of affective factors considered in this study and its use of multiple expression-recognition tasks mean that it is a relatively comprehensive investigation of the role of affective factors in facial expression recognition, we propose to carry out a direct replication.",2019.0,Sarah Aied Alharbi; Katherine S. Button; Amy Bagshaw; Lingshan Zhang; Kieran J. O’Shea; Vanessa Fasolt; Anthony J. Lee; Lisa M. DeBruine; Benedict C. Jones,,,https://openalex.org/W4243461258,openalex,Alharbi · 2019,replication,both,"phrase:direct replication; no author-year cite | llm:""we propose to carry out a direct replication""",high,single_original,high,10.1098/rsos.190699,Are affective factors related to individual differences in facial expression recognition?,2018.0,Palermo,Palermo · 2018.0,llm_fulltext,"Palermo et al. (2018 Journal of Experimental Psychology: Human Perception and Performance) recently reported that individuals who scored lower in anxiety performed significantly better on two measures of facial-expression recognition (emotion-matching and emotion-labeling tasks). | DOI mismatch: 10.1037/xhp0000541 points to ""Object-based target templates guide attention during visual search."" (2018), not ""Are affective factors related to individual differences in facial expression recognition?"" | DOI corrected: 10.1037/xhp0000541 pointed to a different work; replaced with 10.1098/rsos.190699 (""Are affective factors related to individual differences in facial expression recognition?"") | DOI confirmed by metadata search; row year_o/author_o disagree with DOI metadata (2020, ""Alharbi"")",low,gemini-3-flash-preview,verified,cannot_be_determined,"Because the range of affective factors considered in this study and its use of multiple expression-recognition tasks mean that it is a relatively comprehensive investigation of the role of affective factors in facial expression recognition, we propose to carry out a direct replication.",high,abstract,The abstract describes the rationale and intent to conduct a replication study but does not report any results or conclusions regarding the outcome of that replication.,replication,1,1
6cd8b68de03caaca581e5bed339d1ed8,10.31234/osf.io/kmx75,Towards a simplified justification of the chosen sample size,"Since the early work of Cohen (1962) psychological researchers have become aware of the importance of doing a power analysis to ensure that the predicted effect will be detectable with sufficient statistical power. APA guidelines require researchers to provide a justification of the chosen sample size with reference to the expected effect size; an expectation that should be based on previous research. However, we argue that a credible estimate of an expected effect size is only reasonable under two conditions: either the new study forms a direct replication of earlier work or the outcome scale makes use of meaningful and familiar units that allow for the quantification of a minimal effect of psychological interest. In practice neither of these conditions is usually met. We propose a different rationale for a power analysis that will ensure that researchers will be able to justify their sample size as meaningful and adequate.",2021.0,Nick J. Broers; Henry Otgaar,,,https://openalex.org/W4232365837,openalex,Broers · 2021,replication,rule_based,phrase:replication of; cite:Cohen (1962),high,single_original,high,10.1177/1745691614551642,Safeguarding Testable Hypotheses Through Sequential Analysis,2014.0,Lakens,Lakens · 2014,llm_fulltext,"The abstract discusses the importance of power analysis and sample size justification, specifically mentioning that credible estimates of effect sizes are reasonable when a study is a direct replication of earlier work. | DOI mismatch: 10.1177/1745691614551642 points to ""Beyond Power Calculations"" (2014), not ""Safeguarding Testable Hypotheses Through Sequential Analysis""",low,gemini-3-flash-preview,mismatch,cannot_be_determined,We propose a different rationale for a power analysis that will ensure that researchers will be able to justify their sample size as meaningful and adequate.,high,abstract,The abstract describes a methodological proposal and critique regarding sample size justification but does not provide any information regarding the replication of Lakens (2014) or its findings.,replication,1,1
8264d6108dceb81754a783f58bf571e8,10.5465/ambpp.2020.236,Is White Always the Standard? Using Replication to Extend What We Know About Leadership Prototypes,"In 2008, Rosette, Leonardelli, & Phillips published a study in which they examined whether race was an implicit component of the business leadership prototype. At the time of the study Rosette et al. (2008) underscored that among the then 43 United States Presidents, none had been a racial minority and suggested that this leadership example had implications for how U.S. citizens acquired their implicit leadership prototypes. With the election of Barack Obama, the first African American President of the United States, an era of important technological, demographic and cultural changes emerged as to reshape the American socio-cultural landscape. Events in the last decade have demonstrated how prototypes within the general populace (e.g. the heterosexual marriage prototype) have become amenable to change. Moreover, recent research suggests that underlying racial attitudes as assessed by the Implicit Association Test (IAT) have shifted positively towards neutrality. The aim of the present study is to build on the work by Rosette et al. (2008) by examining whether recent changes have had a broadening and more racially inclusive effect on the business leader prototype. Grounding our direct replication study within the implicit leadership theory (ILT) literature, we retest the theoretical assumptions of Rosette et al. (2008).",2020.0,Adaora Ubaka; Xinxin Lu; Lyangela Gutierrez,Academy of Management Proceedings,,https://openalex.org/W3045817071,openalex,Ubaka · 2020 · Academy of Management Proceedings,replication,rule_based,phrase:direct replication; cite:Rosette et al. (2008),high,single_original,high,10.1037/0021-9010.93.4.758,The White Standard: Implicit Leadership Theories and Race,2008.0,Rosette,Rosette · 2008,llm_fulltext,"In 2008, Rosette, Leonardelli, & Phillips published a study in which they examined whether race was an implicit component of the business leadership prototype. | DOI mismatch: 10.1037/0021-9010.93.4.758 points to ""The White standard: Racial bias in leader categorization."" (2008), not ""The White Standard: Implicit Leadership Theories and Race""",low,gemini-3-flash-preview,mismatch,cannot_be_determined,The aim of the present …,high,abstract,The provided abstract text is incomplete and cuts off before reporting any results or conclusions regarding the replication outcome.,replication,1,1
