doi_r,doi_o,oa_work_id_r,oa_work_id_o,url_r,url_o,ref_r,ref_o,abstract_r,year_r,year_o,type,outcome,outcome_quote,outcome_quote_source,source
10.1111/psyp.13419,10.1002/clc.22410,W2953164810,,,https://doi.org/10.1002/ajhb.21164,"Tabitha A. Iseger, Madelon A. Vollebregt, Noralie Krepel, Martijn Arns (2019) Heart rate variability related to season of birth: A replication study. Psychophysiology.","Wei‐Lieh Huang, Be‐Tau Hwang, Chun‐Ting Lai, Jiayi Li, Terry B.J. Kuo, Cheryl C.H. Yang (2015) Is Heart Rate Variability Related to Season of Birth?. Clinical Cardiology.","Low heart rate variability (HRV) has strongly been associated with an increased risk for cardiovascular disease. With cardiovascular disease being the number one cause of global deaths, factors that influence its development are relevant to understand. Season of birth has been suggested as one of the factors influencing the development of HRV. The current study was set up to replicate the finding that men born in winter have higher HRV later in life compared to those born in other seasons. To this end, we studied a sample of 1,871 healthy participants from the Brain Resource International Database during rest and during task. Furthermore, sex and age differences and associations with personality traits and psychiatric symptoms were explored. We replicated the earlier finding that men born in winter have a lower ratio of low frequency (LF) power to high frequency (HF) power during rest compared to summer and fall, and, although less pronounced, higher HF compared to summer. A difference between summer and winter for LF/HF in men was internally replicated using data recorded during task. Additionally, for both sexes, LF/HF ratio increased with age, and LF and HF both decreased. In general, LF/HF was lower in women, but heart rate was higher. In men, low HRV was associated with depression and the personality trait openness. In conclusion, results from a large multicenter data set covering the entire lifespan demonstrate that HRV changes with age in both sexes and confirm that season of birth influences HRV later in life in men.",2019.0,2011,replication,successful,replicated,abstract,openalex
10.31234/osf.io/prfm3,10.1177/1948550612466115,W3172208205,W2012902973,,https://doi.org/10.1177/1948550612466115,"Hannah Pearson, Benjamin Balas (2020) Can naive observers detect suicidality in face images? A replication and extension of Kleiman and Rule (2013).","Sela Kleiman, Nicholas O. Rule (2012) Detecting Suicidality From Facial Appearance. Social Psychological and Personality Science.","Naive observers make a wide range of social judgments from face images, including estimations of mental health (e.g. depression, schizotypy). Such judgments may inform interactions between care providers and patients, including diagnosis. Kleiman and Rule (2013) demonstrated that naive observers could categorize static images at above chance levels according to suicidality and that the faces of individuals who died by suicide were rated as more impulsive than control faces. We attempted to replicate these results with a larger sample and extended the original report by implementing a 2AFC paradigm that minimizes response bias. We found that suicidality categorization was above-chance using the original testing paradigm, but performance dropped to chance in our 2AFC task. We found no evidence supporting differences in perceived impulsivity across categories in either paradigm. We discuss these outcomes from theoretical and methodological perspectives, and outline new directions for further research investigating social vision in clinical contexts.",2020.0,2012,replication,failed,"Overall, our data largely support the results reported in the Kleiman & Rule’s original manuscript",abstract,openalex
10.1037/a0023597,10.1111/j.1467-6494.1949.tb01241.x,W2010739762,W2033916656,,https://doi.org/10.1111/j.1467-6494.1949.tb01241.x,"John M. Horner, San K. Tung (2011) Playing Cards with Thomas Kuhn: A Critical Reexamination of the Bruner and Postman (1949) Experiment. Review of General Psychology.","Jerome S. Bruner, Leo Postman (1949) ON THE PERCEPTION OF INCONGRUITY: A PARADIGM. Journal of Personality.","Two experiments replicated Bruner and Postman (1949) , on which Kuhn (1962 , 1970 ) relied in his argument that humans resist experience that is incongruous with their expectations—an argument essential to Kuhn's thesis of scientific revolutions. The first experiment measured reaction times for identifying playing card stimuli in three conditions: (a) where all the stimuli were standard playing cards, (b) where stimuli had color reversed (trick), or (c) which included both regular and trick card stimuli (mixed set). Participants were equally adept at identifying regular and trick stimuli in homogenous sets but took longer to identify the same stimuli in a mixed set. The second experiment, a conceptual replication of Bruner and Postman's original experiment, obtained recognition thresholds for regular and trick stimuli while measuring participants’ frustration. Participants responded similarly to procedural difficulties for both trick and regular stimuli. An analysis of participants’ responses shows that participants used systematic trial-and-error strategy to identify any ambiguous stimulus. These findings are inconsistent with an interpretation of resistance to incongruities.",2011.0,1949,replication,mixed,“These findings are inconsistent with an interpretation of resistance to incongruities.”,abstract,openalex
10.1080/14616696.2017.1290265,10.1086/596443,W2602045441,,,https://doi.org/10.1086/596443,"Carlo Barone, Lucia Ruggera (2017) Educational equalization stalled? Trends in inequality of educational opportunity between 1930 and 1980 across 26 European nations. European Societies.",Breen · 2009,"ABSTRACT This article assesses trends over time in the influence of social origins on educational attainment in 26 European countries. We use a cumulative dataset that merges the European Social Survey (waves 2002–2010), the International Social Survey Programme (1999, 2009) and the European Value Study (2008). Our contribution to the literature is threefold. First, we replicate as closely as possible the previous study by Breen et al. [(2009) ‘Nonpersistent in educational attainment: Evidence from eight European countries’, American Journal of Sociology 114: 1475–1521] and extend it to a larger set of countries and to more recent cohorts. Second, we reassess the argument that equalization does not involve Higher Education. Third, we consider whether our conclusions change if we use a more comprehensive measurement of social origins that jointly incorporates indicators of social class, social status and parental education. We detect a generalized reduction of educational inequalities in the post-war decades. When we focus on Higher Education, we still detect evidence of equalization, although to a lower extent. Our analyses do not support the claim that, when using a more comprehensive treatment of social origins, the patterns for different indicators evolve in opposite directions.",2017.0,2009,replication,successful,"""We replicate as closely as possible the previous study by Breen et al. [...] and extend it to a larger set of countries and to more recent cohorts. We detect a generalized reduction of educational inequalities...""",abstract,openalex
https://aisel.aisnet.org/trr/vol7/iss1/3,10.1016/j.im.2015.06.009,,W2414375633,https://aisel.aisnet.org/trr/vol7/iss1/3,https://doi.org/10.1016/j.im.2015.06.009,Kumar · 2021 · UA Campus Repository (The University of Arizona),"Pei‐Fang Hsu, HsiuJu Rebecca Yen, Jung-Ching Chung (2015) Assessing ERP post-implementation success at the individual level: Revisiting the role of service quality. Information & Management.","This study is a conceptual replication of the study by Han et al. (2015) in which the authors evaluated factors affecting students’ compliance with emergency instructions during campus emergencies. The current study focused on broader public health-related emergencies using eight scenarios evaluated by Amazon Mechanical Turk (AMT) participants. Analysis on the aggregated data showed that subjective norm and trust in information quality positively affected intention to comply with instructions, consistent with the original study. Three follow up analyses provide more nuanced results. First, an abridged dataset was created by filtering out participants whose reasons for non-immediate compliance weren't related to verifying information and then complying. Analysis on this dataset showed that subjective norm no longer positively affected intention to comply. Second, scenarios used in the study were grouped by characteristics such as development speed, frequency, and area affected, and the analysis was redone. Factors affecting intention to comply immediately changed based on the characteristic, with subjective norm positively affected intention to comply in slow-developing scenarios, scenarios that affect at a limited area, and commonly occurring scenarios, while trust in information quality affects the other scenarios. Third, recall of information from the notification was collected from participants and analyzed. Results show that participants who chose to comply immediately recalled more information than others. Our replication study shows some support for the original conclusions; however, the broader setting and more nuanced analyses show also differences between both studies.",2021.0,2015,replication,mixed,Our replication study shows some support for the original conclusions,abstract,openalex
10.1016/j.jecp.2015.11.007,10.1111/j.1467-7687.2009.00881.x,W2206193705,W2004298949,,https://doi.org/10.1111/j.1467-7687.2009.00881.x,"Irene Symeonidou, Iroise Dumontheil, Wing-Yee Chow, Richard Breheny (2015) Development of online use of theory of mind during adolescence: An eye-tracking study. Journal of Experimental Child Psychology.","Trix Cacchione, Josep Call (2009) Intuitions about gravity and solidity in great apes: the tubes task. Developmental Science.","We investigated the development of theory of mind use through eye-tracking in children (9-13years old, n=14), adolescents (14-17.9years old, n=28), and adults (19-29years old, n=23). Participants performed a computerized task in which a director instructed them to move objects placed on a set of shelves. Some of the objects were blocked off from the director's point of view; therefore, participants needed to take into consideration the director's ignorance of these objects when following the director's instructions. In a control condition, participants performed the same task in the absence of the director and were told that the instructions would refer only to items in slots without a back panel, controlling for general cognitive demands of the task. Participants also performed two inhibitory control tasks. We replicated previous findings, namely that in the director-present condition, but not in the control condition, children and adolescents made more errors than adults, suggesting that theory of mind use improves between adolescence and adulthood. Inhibitory control partly accounted for errors on the director task, indicating that it is a factor of developmental change in perspective taking. Eye-tracking data revealed early eye gaze differences between trials where the director's perspective was taken into account and those where it was not. Once differences in accuracy rates were considered, all age groups engaged in the same kind of online processing during perspective taking but differed in how often they engaged in perspective taking. When perspective is correctly taken, all age groups' gaze data point to an early influence of perspective information.",2015.0,2010,replication,successful,"We replicated previous findings, namely that in the director-present condition, but not in the control condition, children and adolescents made more errors than adults, suggesting that theory of mind use improves between adolescence and adulthood.",abstract,openalex
10.31234/osf.io/m6ghr,10.1177/0956797611420166,W4244778849,W2072945269,,https://doi.org/10.1177/0956797611420166,"Joshua M. Tybur, Benedict C. Jones, Lisa M. DeBruine, Joshua T. Ackerman, Vanessa Fasolt (2020) Preregistered replication of “Sick body, vigilant mind: The biological immune system activates the behavioral immune system”.","Saul L. Miller, Jon K. Maner (2011) Sick Body, Vigilant Mind. Psychological Science.","The tendency to attend to and avoid cues to pathogens varies across individuals and contexts. Researchers have proposed that this variation is partially driven by immunological vulnerability to infection, though support for this hypothesis is equivocal. One key piece of evidence finds that recently ill participants – who may have a reduced ability to combat subsequent infection – allocate more attention to faces with infectious disease cues than do participants who have not recently been ill. The current manuscript reports a direct replication of this study using a sample of 402 individuals from the University of Michigan, the University of Glasgow, and VU Amsterdam – over four times the sample size of the original study. No effect of illness recency on attentional bias for disfigured faces emerged. Though not supporting the original finding, this replication provides suggestions for future directions for research on the psychological underpinnings of pathogen avoidance.",2020.0,2011,replication,failed,"No effect of illness recency on attentional bias for disfigured faces emerged. Though not supporting the original finding, this replication provides suggestions for future directions for research on the psychological underpinnings of pathogen avoidance.",abstract,openalex
10.18148/srm/2016.v10i2.6274,10.18148/srm/2013.v7i3.5458,W2508566578,W241104085,,https://doi.org/10.18148/srm/2013.v7i3.5458,"Daniele Toninelli, Mélanie Revilla (2015) Smartphones vs PCs: Does the Device Affect the Web Survey Experience and the Measurement Error for Sensitive Topics? - A Replication of the Mavletova &amp; Couper’s 2013 Experiment. Repositori digital de la UPF (Universitat Pompeu Fabra).","Aigul Mavletova, Mick P. Couper (2012) Sensitive Topics in PC Web and Mobile Web Surveys: Is There a Difference?. DOAJ (DOAJ: Directory of Open Access Journals).","More and more respondents use mobile devices to complete web surveys. These devices have different characteristics, if compared to PCs (e.g. smaller screen sizes and higher portability). These characteristics can affect the survey responses, mostly when a questionnaire includes sensitive questions. This topic was already studied by Mavletova and Couper (2013), through a two-wave experiment comparing PCs and mobile devices results for the same respondents in a Russian opt-in panel. We replicated this cross-over design, focusing on an opt-in panel for Spain, involving 1,800 panellists and comparing PCs and smartphones. Our results support most of Mavletova and Couper’s (2013) findings (e.g. generally the used device does not significantly affect the reporting of sensitive information), confirming their robustness over the two studied countries. For other results (e.g. trust in data confidentiality), we found differences that can be justified by the diverse context/culture or by the quick changes that are still characterizing the mobile web survey participation.",2015.0,2012,replication,successful,Our results support most of Mavletova and Couper’s (2013) findings,abstract,openalex
10.1093/alcalc/agaa009,10.1007/s00213-010-1872-1,W3010694779,W2009877681,,https://doi.org/10.1007/s00213-010-1872-1,"Nina Tello, Nématollah Jaafari, Armand Chatard (2020) Effects of Evaluative Conditioning on Implicit Evaluation of Alcohol and Drinking Behaviors: A Direct Replication. Alcohol and Alcoholism.","Katrijn Houben, Remco C. Havermans, Reínout W. Wiers (2010) Learning to dislike alcohol: conditioning negative implicit attitudes toward alcohol and its effect on drinking behavior. Psychopharmacology.","AIMS: Recent research suggests that evaluative conditioning (EC) can change implicit evaluations of alcohol and reduce drinking behaviors among college students (Houben et al., 2010a). This research has been conceptually replicated in two previous studies. To date, however, no direct and independent replication of the original study has been performed. In this paper, we report a high-powered direct replication of Houben et al.'s (2010a) study. METHOD: About 168 French college students took part in this preregistered study. Drinking behavior was assessed before and 2 weeks after the intervention. The intervention consisted of 120 trials of words related to alcoholic beverages or soft drinks paired with neutral, positive or negative pictures. The two conditions were factually equivalent and differed only in the repeated pairing between alcohol-related words and negative pictures; in the EC condition, but not in the control condition, alcohol-related words were systematically paired with negative pictures. RESULTS: EC did not change participants' implicit evaluations of alcohol and drinking behaviors. However, EC reduced drinking behaviors among hazardous drinkers. Yet, further non-preregistered Bayesian analysis did not provide much support for this hypothesis. CONCLUSION: This high-powered preregistered direct replication of Houben et al.'s (2010a) study suggests that the original effects are more fragile than initially thought. The effect of EC on drinking behaviors may be restricted to heavy drinkers, and we found no evidence that this effect is mediated by a change in implicit attitudes. It is necessary to perform further studies to test the original effects in clinical populations.",2020.0,2010,replication,failed,"This high-powered preregistered direct replication of Houben et al.'s (2010a) study suggests that the original effects are more fragile than initially thought. The effect of EC on drinking behaviors may be restricted to heavy drinkers, and we found no evidence that this effect is mediated by a change in implicit attitudes.",abstract,openalex
10.3389/fpsyg.2016.01930,10.1016/j.cognition.2012.04.008,W2560734402,W2091035706,,https://doi.org/10.1016/j.cognition.2012.04.008,"Michael Wiemers, Martin H. Fischer (2016) Effects of Hand Proximity and Movement Direction in Spatial and Temporal Gap Discrimination. Frontiers in Psychology.","Davood G. Gozli, Greg L. West, Jay Pratt (2012) Hand position alters vision by biasing processing through different visual pathways. Cognition.","Previous research on the interplay between static manual postures and visual attention revealed enhanced visual selection near the hands (near-hand effect). During active movements there is also superior visual performance when moving toward compared to away from the stimulus (direction effect). The ""modulated visual pathways"" hypothesis argues that differential involvement of magno- and parvocellular visual processing streams causes the near-hand effect. The key finding supporting this hypothesis is an increase in temporal and a reduction in spatial processing in near-hand space (Gozli et al., 2012). Since this hypothesis has, so far, only been tested with static hand postures, we provide a conceptual replication of Gozli et al.'s (2012) result with moving hands, thus also probing the generality of the direction effect. Participants performed temporal or spatial gap discriminations while their right hand was moving below the display. In contrast to Gozli et al. (2012), temporal gap discrimination was superior at intermediate and not near hand proximity. In spatial gap discrimination, a direction effect without hand proximity effect suggests that pragmatic attentional maps overshadowed temporal/spatial processing biases for far/near-hand space.",2016.0,2012,replication,failed,". In contrast to Gozli et al. (2012), temporal gap discrimination was superior at intermediate and not near hand proximity. In spatial gap discrimination, a direction effect without hand proximity effect suggests that pragmatic attentional maps overshadowed temporal/spatial processing biases for far/near-hand space.",abstract,openalex
