doi_o,alt_identifier_o,doi_o_hash,title_o,author_o,journal_o,year_o,volume_o,issue_o,pages_o,apa_ref_o,bibtex_ref_o,url_o,language_o,doi_r,alt_identifier_r,doi_r_hash,title_r,author_r,journal_r,year_r,volume_r,issue_r,pages_r,apa_ref_r,bibtex_ref_r,url_r,language_r,oa_url_o,oa_url_r,outcome,outcome_quote,outcome_quote_source,type,source,oa_work_id_o,oa_work_id_r,author_overlap,author_overlap_pct,abstract_r,outcome_computation,outcome_computational_quote,out_quote_computational_source,outcome_robustness,outcome_robustness_quote,out_quote_robust_source,flora_id,source_display_id,source_record_id
10.1891/0886-6708.26.6.703,,94b,The Gender Asymmetric Effect of Intimate Partner Violence on Relationship Satisfaction,Jeff Ackerman; Layton Field,Violence and Victims,2011,26,6,703-724,"Ackerman, J. M. & Field, L. (2011). The gender asymmetric effect of intimate partner violence on relationship satisfaction. Violence and Victims, 26, 703-724.","@article{10_1891_0886-6708_26_6_703,
  title = {The Gender Asymmetric Effect of Intimate Partner Violence on Relationship Satisfaction},
  author = {Jeff Ackerman and Layton Field},
  journal = {Violence and Victims},
  year = {2011},
  volume = {26},
  number = {6},
  pages = {703-724},
  doi = {10.1891/0886-6708.26.6.703},
}",,en,10.1177/0886260512447579,,21f,The Relevance of Relationship Satisfaction and Continuation to the Gender Symmetry Debate,Jeffrey Ackerman,Journal of Interpersonal Violence,2012,27,18,3579-3600,"Ackerman, J. M. (2012). The Relevance of Relationship Satisfaction and Continuation to the Gender Symmetry Debate. Journal of Interpersonal Violence, 27(18), 3579–3600.","@article{10_1177_0886260512447579,
  title = {The Relevance of Relationship Satisfaction and Continuation to the Gender Symmetry Debate},
  author = {Jeffrey Ackerman},
  journal = {Journal of Interpersonal Violence},
  year = {2012},
  volume = {27},
  number = {18},
  pages = {3579-3600},
  doi = {10.1177/0886260512447579},
}",,en,,https://research-repository.griffith.edu.au/bitstreams/ecc51667-1941-5c40-acd8-114819e4a3ab/download,successful,The current research replicated those findings on a different sample of men and women. In addition to confirming past findings,abstract,replication,fred_replication_success,W1984281061,W1986096778,1,100.0,"In prior research, Ackerman and Field (2011) found that intimate partner violence (IPV) affects the relationship satisfaction of females more than the relationship satisfaction of males. The current research replicated those findings on a different sample of men and women. In addition to confirming past findings, it also found that gendered patterns in IPV differed substantially for current versus former relationships. Subsequent analyses indicated that gendered differences in whether relationships are continued or terminated after IPV apparently explained these patterns. The current analyses illustrate how relationship continuation differences across gender can produce sample selection biases that substantially affect conclusions about whether partner violence is perpetrated equally by men and women. More specifically, the results of this research are consistent with the conclusion that female IPV victims are more likely than are male victims to become dissatisfied with aggressive opposite-sex partnerships and subsequently terminate their aggressive relationships. For this reason, research that relies only upon the analysis of current relationships will underestimate the amount of partner violence committed by men.",,,,,,,FRED-000002,FRED-000002,514ec856-f6f3-4ffa-a871-1cdba0e74520
10.3389/fpsyg.2014.01276,,8f6,Does cleanliness influence moral judgments? Response effort moderates the effect of cleanliness priming on moral judgments,Jason L. Huang,Frontiers in Psychology,2014,5,,1276,"Huang, J. L. (2014). Does cleanliness influence moral judgments? Response effort moderates the effect of cleanliness priming on moral judgments. Frontiers in Psychology, 5, 1276.","@article{10_3389_fpsyg_2014_01276,
  title = {Does cleanliness influence moral judgments? Response effort moderates the effect of cleanliness priming on moral judgments},
  author = {Jason L. Huang},
  journal = {Frontiers in Psychology},
  year = {2014},
  volume = {5},
  pages = {1276},
  doi = {10.3389/fpsyg.2014.01276},
}",,en,10.17605/osf.io/uxajg,,5de,Response Effort on Cleanliness Priming for Moral Judgements,D. Adams; B. Koenig; C. Sanders; D. Jackson; C. Davis,,2018,,,,"Adams, D., Koenig, B., Sanders, C., Jackson, D., & Davis, C. (2018, December 4). Response Effort on Cleanliness Priming for Moral Judgements.",,,,https://www.frontiersin.org/articles/10.3389/fpsyg.2014.01276/pdf,,failed,"I judge the replication to be a(n)

informative failure to replicate",Repository description,replication,fred_replication_success,W2168489814,,0,0.0,,,,,,,,FRED-000003,FRED-000003,18e67947-c2cc-4a9e-8138-cf7eb203a9ac
10.1037/0022-3514.90.2.197,,883,Temporal differences in trait self-ascription: When the self is seen as an other.,Emily Pronin; Lee Ross,Journal of Personality and Social Psychology,2006,90,2,197-209,"Pronin, E., & Ross, L. (2006). Temporal differences in trait self-ascription: When the self is seen as an other. Journal of Personality and Social Psychology, 90(2), 197–209. https://doi.org/10.1037/0022-3514.90.2.197","@article{10_1037_0022-3514_90_2_197,
  title = {Temporal differences in trait self-ascription: When the self is seen as an other.},
  author = {Emily Pronin and Lee Ross},
  journal = {Journal of Personality and Social Psychology},
  year = {2006},
  volume = {90},
  number = {2},
  pages = {197-209},
  doi = {10.1037/0022-3514.90.2.197},
}",,en,10.5334/irsp.571,,744,Are Past and Future Selves Perceived Differently from Present Self? Replication and Extension of Pronin and Ross (2006) Temporal Differences in Trait Self-Ascription,Nadia Adelina; Gilad Feldman,International Review of Social Psychology,2021,34,1,29,"Adelina, N., & Feldman, G. (2021). Are Past and Future Selves Perceived Differently from Present Self? Replication and Extension of Pronin and Ross (2006) Temporal Differences in Trait Self-Ascription. International Review of Social Psychology, 34(1), 29. https://doi.org/10.5334/irsp.571","@article{10_5334_irsp_571,
  title = {Are Past and Future Selves Perceived Differently from Present Self? Replication and Extension of Pronin and Ross (2006) Temporal Differences in Trait Self-Ascription},
  author = {Nadia Adelina and Gilad Feldman},
  journal = {International Review of Social Psychology},
  year = {2021},
  volume = {34},
  number = {1},
  pages = {29},
  doi = {10.5334/irsp.571},
}",,en,,https://doi.org/10.5334/irsp.571,mixed,We concluded mixed findings.,abstract,replication,fred_replication_success,W2084339525,W4200260259,0,0.0,"We attempted a pre-registered replication and extension of Studies 1, 2, and 3 from Pronin and Ross (2006) regarding the effects of social and temporal distance on trait attributions with an online American Amazon MTurk sample (N = 911). We concluded mixed findings. We found support for the original findings: participants attributed more dispositional traits to others compared to themselves, although with weaker effects (original: f = 0.35, 95% CI [0.09, 0.61]; replication: f = 0.10, 95% CI [0.03, 0.16]). Also, similar to

the original, we found that participants tended to attribute a favorable ratio of positive traits when mak- ing self-assessments (original: f = 0.77, 95% CI [0.29, 1.25]; replication: f = 0.88, 95% CI [0.50, 1.26]).

However, unlike the original, we failed to find support for the core hypothesis that participants would ascribe more dispositional traits to their temporally distant self compared to their present self (original: f = 0.54, 95% CI [0.27, 0.77]; replication: f = 0.02, 95% CI [0.00, 0.06]). Furthermore, in contrast to the original, we found that the positive traits ratio increases with temporal distance (original: f = 0.16, 95% CI [0.00, 0.36]; replication: f = 0.33, 95% CI [0.22, 0.42] in the opposite direction). Contrary to our hypothesis, in an extension, we found that people were more likely to ascribe a greater ratio of positive traits to their friends than to themselves (ξ = 0.3, 95% CI [0.21, 0.38]). All materials, data, and code are provided here: https://osf.io/gs2rx/.",,,,,,,FRED-000004,FRED-000004,24889146-6c11-482d-b087-a1044abcb53c
10.3758/s13423-014-0663-9,,ae0,The cost of blocking the mirror generalization process in reading: evidence for the role of inhibitory control in discriminating letters with lateral mirror-image counterparts,Grégoire Borst; Emmanuel Ahr; Margot Roëll; Olivier Houdé,Psychonomic Bulletin & Review,2014,22,1,228-234,"Borst, G., Ahr, E., Roell, M. et al. The cost of blocking the mirror generalization process in reading: evidence for the role of inhibitory control in discriminating letters with lateral mirror-image counterparts. Psychon Bull Rev 22, 228–234 (2015).","@article{10_3758_s13423-014-0663-9,
  title = {The cost of blocking the mirror generalization process in reading: evidence for the role of inhibitory control in discriminating letters with lateral mirror-image counterparts},
  author = {Grégoire Borst and Emmanuel Ahr and Margot Roëll and Olivier Houdé},
  journal = {Psychonomic Bulletin & Review},
  year = {2014},
  volume = {22},
  number = {1},
  pages = {228-234},
  doi = {10.3758/s13423-014-0663-9},
}",,en,10.1016/j.jecp.2015.12.009,,743,Inhibition of the mirror generalization process in reading in school-aged children,Emmanuel Ahr; Olivier Houdé; Grégoire Borst,Journal of Experimental Child Psychology,2016,145,,157-165,"Ahr, E., Houdé, O., & Borst, G. (2016). Inhibition of the mirror generalization process in reading in school-aged children. Journal of Experimental Child Psychology, 145, 157–165.","@article{10_1016_j_jecp_2015_12_009,
  title = {Inhibition of the mirror generalization process in reading in school-aged children},
  author = {Emmanuel Ahr and Olivier Houdé and Grégoire Borst},
  journal = {Journal of Experimental Child Psychology},
  year = {2016},
  volume = {145},
  pages = {157-165},
  doi = {10.1016/j.jecp.2015.12.009},
}",,en,,,successful,"the current study aimed at replicating this result in school-aged children. Three age groups—1st, 3rd, and 5th graders— performed a negative priming study in which they were asked to determine on the primes whether two letters were identical and on the probes whether two animals facing opposite directions were identical. All three groups of children required more time to discriminate two letters that were lateral mirror images of one another (e.g., b/d) than two letters that were not (e.g., f/t) [and other results were consistent]",abstract,replication,fred_replication_success,W1963794273,W2250357708,3,100.0,"A striking error in reading is the early and sometimes persistent con- fusion of mirror letters such as b and d. These mirror errors are likely

a result of the mirror generalization process that allows one to iden- tify a visual stimulus regardless of its presentation side. A previous

study demonstrated that preventing mirror errors in reading requires the inhibition of the mirror generalization process in expert adult readers (Borst et al., 2015). Using the same experimental paradigm, the current study aimed at replicating this result in school-aged children. Three age groups—1st, 3rd, and 5th graders— performed a negative priming study in which they were asked to determine on the primes whether two letters were identical and on

the probeswhether two animals facing opposite directionswere iden- tical. All three groups of children required more time to discriminate

two letters that were lateral mirror images of one another (e.g., b/d) than two letters that were not (e.g., f/t). Crucially, children required more time to determine that two animals facing opposite directions were identical when preceded by two letters that were lateral mirror images of one another (b/d) than when preceded by letters that were not mirror images of one another (f/t). Importantly, the amplitude of the negative priming effect did not vary with age. Our results suggest that overcoming mirror errors in reading, regardless of the reading proficiency of school-aged children, is rooted in the ability to inhibit the mirror generalization process.",,,,,,,FRED-000005,FRED-000005,b8564d4b-c86f-480b-b59a-7451d3286a15
10.1038/s41598-022-24919-7,,a75,Positive and negative facial valence perception are modulated differently by eccentricity in the parafovea,Vasilisa Akselevich; Sharon Gilaie‐Dotan,Scientific Reports,2022,12,1,21693,"Akselevich, V., & Gilaie-Dotan, S. (2022). Positive and negative facial valence perception are modulated differently by eccentricity in the parafovea. Scientific reports, 12(1), 21693.","@article{10_1038_s41598-022-24919-7,
  title = {Positive and negative facial valence perception are modulated differently by eccentricity in the parafovea},
  author = {Vasilisa Akselevich and Sharon Gilaie‐Dotan},
  journal = {Scientific Reports},
  year = {2022},
  volume = {12},
  number = {1},
  pages = {21693},
  doi = {10.1038/s41598-022-24919-7},
}",,en,10.1038/s41598-024-63724-2,10.31234/osf.io/4j8xb,25f,Positive and negative facial valence perception are modulated differently by eccentricity in the parafovea: Replication from KDEF to NimStim,Vasilisa Akselevich; Sharon Gilaie‐Dotan,Scientific Reports,2024,14,1,13757,"Akselevich, V., & Gilaie-Dotan, S. (2024). Positive and negative facial valence perception are modulated differently by eccentricity in the parafovea: Replication from KDEF to NimStim. Scientific reports, 14(1), 13757.","@article{10_1038_s41598-024-63724-2,
  title = {Positive and negative facial valence perception are modulated differently by eccentricity in the parafovea: Replication from KDEF to NimStim},
  author = {Vasilisa Akselevich and Sharon Gilaie‐Dotan},
  journal = {Scientific Reports},
  year = {2024},
  volume = {14},
  number = {1},
  pages = {13757},
  doi = {10.1038/s41598-024-63724-2},
}",,en,https://www.nature.com/articles/s41598-022-24919-7.pdf,https://doi.org/10.1038/s41598-024-63724-2,successful,"All our prior findings replicated and eccentricity-based modulation magnitude was smaller with NimStim (~ 16.6% accuracy reduction at 4°) than with KDEF stimuli (~ 27.3% reduction). Our current investigations support our earlier findings that for briefly presented parafoveal stimuli, positive and negative valence perception are differently affected by eccentricity and may be dissociated.",abstract,replication,fred_replication_success,W4311742675,W4399675954,2,100.0,"AbstractWhile perceiving the emotional state of others may be crucial for our behavior even when this information is present outside of central vision, emotion perception studies typically focus on central visual field. We have recently investigated emotional valence (pleasantness) perception across the parafovea (≤ 4°) and found that for briefly presented (200 ms) emotional face images (from the established KDEF image-set), positive (happy) valence was the least affected by eccentricity (distance from the central visual field) and negative (fearful) valence the most. Furthermore, we found that performance at 2° predicted performance at 4°. Here we tested (n = 37) whether these effects replicate with face stimuli of different identities from a different well-established image-set (NimStim). All our prior findings replicated and eccentricity-based modulation magnitude was smaller with NimStim (~ 16.6% accuracy reduction at 4°) than with KDEF stimuli (~ 27.3% reduction). Our current investigations support our earlier findings that for briefly presented parafoveal stimuli, positive and negative valence perception are differently affected by eccentricity and may be dissociated. Furthermore, our results highlight the importance of investigating emotions beyond central vision and demonstrate commonalities and differences across different image sets in the parafovea, emphasizing the contribution of replication studies to substantiate our knowledge about perceptual mechanisms.",,,,,,,FRED-000007,FRED-000007,ce5d16b6-96a0-4121-b6f5-e36cdccf2b1a
10.1037/pst0000133,,d54,The effects of relationship and progress feedback in group psychotherapy using the Group Questionnaire and Outcome Questionnaire–45: A randomized clinical trial.,Gary M. Burlingame; Kaitlyn E Whitcomb; Sean Woodland; Joseph A. Olsen; Mark E. Beecher; Robert Gleave,Psychotherapy,2018,55,2,116-131,"Burlingame, G. M., Whitcomb, K. E., Woodland, S. C., Olsen, J. A., Beecher, M., & Gleave, R. (2018). The effects of relationship and progress feedback in group psychotherapy using the Group Questionnaire and Outcome Questionnaire-45: A randomized clinical trial. Psychotherapy: Theory, Research, & Practice, 55, 116–131. http://dx.doi .org/10.1037/pst0000133","@article{10_1037_pst0000133,
  title = {The effects of relationship and progress feedback in group psychotherapy using the Group Questionnaire and Outcome Questionnaire–45: A randomized clinical trial.},
  author = {Gary M. Burlingame and Kaitlyn E Whitcomb and Sean Woodland and Joseph A. Olsen and Mark E. Beecher and Robert Gleave},
  journal = {Psychotherapy},
  year = {2018},
  volume = {55},
  number = {2},
  pages = {116-131},
  doi = {10.1037/pst0000133},
}",,en,10.1037/gdn0000121,,c95,Outcome Questionnaire-45 (OQ-45) progress alert rates in group versus individual treatment: An archival replication.,Cameron T. Alldredge; Gary M. Burlingame; Joseph A. Olsen; Jake Van Epps,Group Dynamics Theory Research and Practice,2020,24,4,247-260,"Alldredge, C., Burlingame, G., Olsen, J., & Van Epps, J. (2020). Outcome Questionnaire-45 (OQ-45) progress alert rates in group versus individual treatment: An archival replication. Group Dynamics: Theory, Research, and Practice, 24(4), 247–260.","@article{10_1037_gdn0000121,
  title = {Outcome Questionnaire-45 (OQ-45) progress alert rates in group versus individual treatment: An archival replication.},
  author = {Cameron T. Alldredge and Gary M. Burlingame and Joseph A. Olsen and Jake Van Epps},
  journal = {Group Dynamics Theory Research and Practice},
  year = {2020},
  volume = {24},
  number = {4},
  pages = {247-260},
  doi = {10.1037/gdn0000121},
}",,en,,,mixed,"he current study replicated the significant difference found in the rate of NOT alerts between treatment formats (p ! .007). Additionally, the timing of NOT alerts created a more complex picture. Burlingame et al.’s (2018) results may be more common as preliminary results suggest that clients in group therapy are more likely to alert as NOT during the course of therapy when compared to clients in individual therapy.",abstract,replication,fred_replication_success,W2807628811,W3025309290,2,50.0,"In a recent study involving routine outcome monitoring (ROM), Burlingame and colleagues (2018) found that the clients in group treatment yielded significantly more not-on-track (NOT) progress alerts during treatment compared to individual treatment. Additionally, nonequivalence was found in the timing of the first NOT alerts, with group treatment’s first alerts occurring two sessions later than individual treatment. Because past research has generally demonstrated equivalence between the effects of individual and group therapy, the current study aims to determine whether these rate and timing differences are replicable. Without sufficient evidence that the NOT alerts’ frequency and temporal patterns found previously are common across group therapies, we hypothesized that a new data source would show no difference between rate and timing of NOT alerts between group and individual therapy. Frequency and timing data of NOT alerts from archival Outcome Questionnaire administrations in a comparable counseling center (N ! 5,639, Mage ! 25.7, female ! 58.4%, Caucasian ! 78.4%) were analyzed and compared to Burlingame et al.’s (2018) results. The current study replicated the significant difference found in the rate of NOT alerts between treatment formats (p ! .007). Additionally, the timing of NOT alerts created a more complex picture. Burlingame et al.’s (2018) results may be more common as preliminary results suggest that clients in group therapy are more likely to alert as NOT during the course of therapy when compared to clients in individual therapy. Implications of these findings are discussed.",,,,,,,FRED-000008,FRED-000008,17eaa14a-6831-41b1-bc1f-7f9f68ebb28e
10.2466/pms.109.2.577-580,,1d8,Replicating a Simple Study of Asymmetry in Human Cognition,James A. Anderson; James W. Grice,Perceptual and Motor Skills,2009,109,2,577-580,"Anderson, J. A., & Grice, J. W. (2009) Replicating a simple study of asymmetry in human cognition. Perceptual and Motor Skills, 109, 577-580.","@article{10_2466_pms_109_2_577-580,
  title = {Replicating a Simple Study of Asymmetry in Human Cognition},
  author = {James A. Anderson and James W. Grice},
  journal = {Perceptual and Motor Skills},
  year = {2009},
  volume = {109},
  number = {2},
  pages = {577-580},
  doi = {10.2466/pms.109.2.577-580},
}",,en,10.2466/20.22.pms.114.1.185-188,,aa8,Asymmetry in Human Cognition: Further Replication and Extension,James A. Anderson; Devan Ramirez; Drew Stephenson,Perceptual and Motor Skills,2012,114,1,185-188,"Anderson, J. A., Ramirez, D., & Stephenson, D. (2012). Asymmetry in Human Cognition: Further Replication and Extension. Perceptual and Motor Skills, 114(1), 185–188.","@article{10_2466_20_22_pms_114_1_185-188,
  title = {Asymmetry in Human Cognition: Further Replication and Extension},
  author = {James A. Anderson and Devan Ramirez and Drew Stephenson},
  journal = {Perceptual and Motor Skills},
  year = {2012},
  volume = {114},
  number = {1},
  pages = {185-188},
  doi = {10.2466/20.22.pms.114.1.185-188},
}",,en,,,mixed,"However, it should be noted that while the model does appear to be supported in the aggregate, a view of the individual data reveals less than clear support. [...]. When viewed together, these results suggest that the internal mechanism governing evaluations as posited by the model is either not robust or dependent upon other psychogenic factors.",p. 187,replication,fred_replication_success,W2323826085,W1976339425,1,33.3,"Vladimir Lefebvre proposed an algebraic model of self-reflexion in the 1980s. He viewed reflexion as a product of the structure and computational rules of Gamma algebra and his equations are considered metaphors for how consciousness is structured. From the framework of this model, Lefebvre hypothesized an asymmetry in human cognition. One of the early studies supporting his model was conducted by Victorina Lefebvre. Over the years, other studies have been conducted, but not all have shown similar support as the original findings of Victorina Lefebvre. This study attempted to extend her findings in testing whether or not other ambiguous stimuli could be used in support of the model.",,,,,,,FRED-000009,FRED-000009,268bd013-26b6-4b57-931c-21aad2a37982
10.1038/s41467-018-06785-y,,662,Dopamine-dependent prefrontal reactivations explain long-term benefit of fear extinction,Anna Gerlicher; Oliver Tüscher; Raffaël Kalisch,Nature Communications,2018,9,1,4294,"Gerlicher, A. M. V., T√ºscher, O., & Kalisch, R. (2018). Dopamine-dependent prefrontal reactivations explain long-term benefit of fear extinction. Nature communications, 9(1), 4294.","@article{10_1038_s41467-018-06785-y,
  title = {Dopamine-dependent prefrontal reactivations explain long-term benefit of fear extinction},
  author = {Anna Gerlicher and Oliver Tüscher and Raffaël Kalisch},
  journal = {Nature Communications},
  year = {2018},
  volume = {9},
  number = {1},
  pages = {4294},
  doi = {10.1038/s41467-018-06785-y},
}",,en,10.1038/s41467-024-46936-y,,55c,Replication study on the role of dopamine-dependent prefrontal reactivations in human extinction memory retrieval,Elena Andres; Hu Chuan-Peng; Anna Gerlicher; Benjamin Meyer; Oliver Tüscher; Raffaël Kalisch,Nature Communications,2024,15,1,2699,"Andres, E., Chuan-Peng, H., Gerlicher, A. M., Meyer, B., T√ºscher, O., & Kalisch, R. (2024). Replication study on the role of dopamine-dependent prefrontal reactivations in human extinction memory retrieval. Nature Communications, 15(1), 2699.","@article{10_1038_s41467-024-46936-y,
  title = {Replication study on the role of dopamine-dependent prefrontal reactivations in human extinction memory retrieval},
  author = {Elena Andres and Hu Chuan-Peng and Anna Gerlicher and Benjamin Meyer and Oliver Tüscher and Raffaël Kalisch},
  journal = {Nature Communications},
  year = {2024},
  volume = {15},
  number = {1},
  pages = {2699},
  doi = {10.1038/s41467-024-46936-y},
}",,en,https://www.nature.com/articles/s41467-018-06785-y.pdf,https://www.nature.com/articles/s41467-024-46936-y.pdf,mixed,"We confirm that spontaneous post-extinction vmPFC reactivations predict extinction memory retrieval. This predictive effect, however, was only observed 90 min after extinction, and was not statistically significant at 45 min as in the discovery study. In contrast to our previous study, we find no evi dence that L-DOPA administration significantly enhances retrieval and that this is mediated by enhancement of the number of vmPFC reactivations.",abstract,replication,fred_replication_success,W2896619466,W4393217761,3,50.0,"AbstractEven after successful extinction, conditioned fear can return. Strengthening the consolidation of the fear-inhibitory safety memory formed during extinction is one way to counteract return of fear. In a previous study, we found that post-extinction L-DOPA administration improved extinction memory retrieval 24‚Äâh later. Furthermore, spontaneous post-extinction reactivations of a neural activation pattern evoked in the ventromedial prefrontal cortex (vmPFC) during extinction predicted extinction memory retrieval, L-DOPA increased the number of these reactivations, and this mediated the effect of L-DOPA on extinction memory retrieval. Here, we conducted a preregistered replication study of this work in healthy male participants. We confirm that spontaneous post-extinction vmPFC reactivations predict extinction memory retrieval. This predictive effect, however, was only observed 90‚Äâmin after extinction, and was not statistically significant at 45‚Äâmin as in the discovery study. In contrast to our previous study, we find no evidence that L-DOPA administration significantly enhances retrieval and that this is mediated by enhancement of the number of vmPFC reactivations. However, additional non-preregistered analyses reveal a beneficial effect of L-DOPA on extinction retrieval when controlling for the trait-like stable baseline levels of salivary alpha-amylase enzymatic activity. Further, trait salivary alpha-amylase negatively predicts retrieval, and this effect is reduced by L-DOPA treatment. Importantly, the latter findings result from non-preregistered analyses and thus further investigation is needed.",,,,,,,FRED-000010,FRED-000010,7c6ceca2-f16e-4ee4-885c-c423a309a482
10.1037/a0020092,,bfa,"Having less, giving more: The influence of social class on prosocial behavior.",Paul K. Piff; Michael W. Kraus; Stéphane Côté; Bonnie Hayden Cheng; Dacher Keltner,Journal of Personality and Social Psychology,2010,99,5,771-784,"Piff, P. K., Kraus, M. W., Côté, S., Cheng, B. H., & Keltner, D. (2010). Having less, giving more: The influence of social class on prosocial behavior. Journal of Personality and Social Psychology, 99(5), 771–784.","@article{10_1037_a0020092,
  title = {Having less, giving more: The influence of social class on prosocial behavior.},
  author = {Paul K. Piff and Michael W. Kraus and Stéphane Côté and Bonnie Hayden Cheng and Dacher Keltner},
  journal = {Journal of Personality and Social Psychology},
  year = {2010},
  volume = {99},
  number = {5},
  pages = {771-784},
  doi = {10.1037/a0020092},
}",,en,10.1016/j.jrp.2019.103902,,0e4,"Having less, giving more? Two preregistered replications of the relationship between social class and prosocial behavior",Angelos Stamos; Florian Lange; Szu‐chi Huang; Siegfried Dewitte,Journal of Research in Personality,2019,84,,103902,"Angelos Stamos, Florian Lange, Szu-chi Huang, Siegfried Dewitte,Having less, giving more? Two preregistered replications of the relationship between social class and prosocial behavior,Journal of Research in Personality,Volume 84,2020,103902,ISSN 0092-6566,","@article{10_1016_j_jrp_2019_103902,
  title = {Having less, giving more? Two preregistered replications of the relationship between social class and prosocial behavior},
  author = {Angelos Stamos and Florian Lange and Szu‐chi Huang and Siegfried Dewitte},
  journal = {Journal of Research in Personality},
  year = {2019},
  volume = {84},
  pages = {103902},
  doi = {10.1016/j.jrp.2019.103902},
}",https://osf.io/zha65/,en,,https://www.sciencedirect.com/science/article/pii/S0092656619301230,failed,"In two high-powered and preregistered replication studies, we did not find evidence in support of the relationship between social class and prosocial behavior reported by Piff et al. (2010). In our first study, we closely mimicked the procedure of Piff et al.’s Study 1 by measuring SES and dictator game performance in Californian university students. The study revealed a non-significant correlation between SES and dictator game performance.",abstract,replication,fred_replication_success,W2130339726,W2990942962,0,0.0,"In the present report, we describe two planned direct replications of studies on the relationship between social class and prosocial behavior. In the original studies, individuals with higher socioeconomic status have been shown to behave less prosocially across a variety of domains. This finding continues to influence both research and the public debate on the psychological correlates of social class. At the same time, the validity of the original findings has been contested. Against this background, pre-registered direct replication studies with sufficient statistical power are warranted to test the robustness of these influential findings. We conducted two replication studies to provide valuable diagnostic information with regard to the relationship between social class and prosocial behavior. Our results indicate that the generalizability of the original findings may be much more limited than suggested. In addition, they highlight the need for an increased reliance on psychometrically established measures to facilitate cumulative research on the relationship between social class and prosocial behavior.",,,,,,,FRED-000011,FRED-000011,73a76983-242b-47e6-8824-3685443f3ee1
10.1111/j.1467-9280.2008.02092.x,,61c,Perceptual Mechanisms That Characterize Gender Differences in Decoding Women's Sexual Intent,Coreen Farris; Teresa A. Treat; Richard J. Viken; Richard M. McFall,Psychological Science,2008,19,4,348-354,"Farris, C., Treat, T.A., Viken, R.J., & McFall, R.M. (2008). Perceptual mechanisms that characterize gender differences in decoding women's sexual intent. Psychological Science, 19(4), 348-354.","@article{10_1111_j_1467-9280_2008_02092_x,
  title = {Perceptual Mechanisms That Characterize Gender Differences in Decoding Women's Sexual Intent},
  author = {Coreen Farris and Teresa A. Treat and Richard J. Viken and Richard M. McFall},
  journal = {Psychological Science},
  year = {2008},
  volume = {19},
  number = {4},
  pages = {348-354},
  doi = {10.1111/j.1467-9280.2008.02092.x},
}",,en,10.1126/science.aac4716,,9fa,Estimating the reproducibility of psychological science,"Open Science Collaboration; Sandstrom, GM",Open Access at Essex (University of Essex),2015,,,,"Attwood, A. S., Andy, Easey, K., Penton-Voak, I., & Munafo, M. R. (2016, August 19). Replication of C Farris, TA Treat, RJ Viken, and RM McFall (2008, PS 19(4)). Retrieved from osf.io/7dyp5 Individual report available at https://osf.io/5u4km/","@article{10_1126_science_aac4716,
  title = {Estimating the reproducibility of psychological science},
  author = {Open Science Collaboration and Sandstrom, GM},
  journal = {Open Access at Essex (University of Essex)},
  year = {2015},
  doi = {10.1126/science.aac4716},
}",https://osf.io/5u4km/,,https://www.ncbi.nlm.nih.gov/pmc/articles/2890253,,failed,Coded as not replicated: Replicate = 0 (the project's binary success indicator combining significance and direction).,data file at https://osf.io/fgjvw,replication,fred_replication_success,W2151007326,W7000338905,0,0.0,"Empirically analyzing empirical evidence One of the central goals in any scientific endeavor is to understand causality. Experiments that seek to demonstrate a cause/effect relation most often manipulate the postulated causal factor. Aarts et al. describe the replication of 100 experiments reported in papers published in 2008 in three high-ranking psychology journals. Assessing whether the replication and the original experiment yielded the same result according to several criteria, they find that about one-third to one-half of the original findings were also observed in the replication study. Science , this issue 10.1126/science.aac4716",,,,,,,FRED-000015,FRED-000015,554472fc-1ec2-4c8f-bbf7-024c566c6b1a
