side,doi_1,doi_2,applied_action,resolution,title_1,title_2,title_sim,first_author_1,first_author_2,year_1,year_2,is_preprint_1,is_preprint_2,group_key,doi_o_group,doi_remove,doi_keep
INSTRUCTIONS -->,DOI #1,DOI #2,auto-default = drop one (preprint loses; else doi_2),Override: copy the row into cache/confirmed_preprint_duplicates.csv with action keep_both / keep_1 / keep_2,,,,,,,,,,,,,
replication,10.17605/osf.io/4fvzq,10.17605/osf.io/jfxnt,auto_keep_1,auto: drop doi_2,"Reproduction (with author data & code): Savani et al. (2010, Psychological Science)","Reproduction (with author data): Savani et al. (2010, Psychological Science)",0.932,fox,loomas,2020,2022,True,True,doi_o: 10.1177/0956797609359908,10.1177/0956797609359908,10.17605/osf.io/jfxnt,10.17605/osf.io/4fvzq
replication,10.31234/osf.io/kavx4,10.1177/0956797620968526,auto_keep_2,auto: drop doi_1,Incidental Attitude Formation via the Surveillance Task: A Registered Replication Report of Olson and Fazio (2001),Incidental Attitude Formation via the Surveillance Task: A Preregistered Replication of the Olson and Fazio (2001) Study,0.855,moran,moran,2020,2020,True,False,doi_o: 10.1111/1467-9280.00376,10.1111/1467-9280.00376,10.31234/osf.io/kavx4,10.1177/0956797620968526
replication,10.1037/emo0000569,10.31234/osf.io/6tn4f,auto_keep_1,auto: drop doi_2,A conceptual replication of emotional intelligence as a second-stratum factor of intelligence.,A conceptual replication of emotional intelligence as a second-stratum factor of intelligence,1.0,evans,evans,2020,2019,False,True,doi_o: 10.1037/a0034755,10.1037/a0034755,10.31234/osf.io/6tn4f,10.1037/emo0000569
replication,10.2466/07.10.17.pr0.107.4.139-144,10.2466/pr0.107.1.139-144,auto_keep_1,auto: drop doi_2,Gender Label and Perceived Infant Emotionality: A Partial Replication of a Classic Study,"GENDER LABEL AND PERCEIVED INFANT EMOTIONALITY: A PARTIAL REPLICATION OF A CLASSIC STUDY<sup>1,2</sup>",0.978,steuer,steuer,2010,2010,False,False,doi_o: 10.2307/1128199,10.2307/1128199,10.2466/pr0.107.1.139-144,10.2466/07.10.17.pr0.107.4.139-144
replication,10.1098/rsos.221306,10.31222/osf.io/sjyp3,auto_keep_1,auto: drop doi_2,Replication of the natural selection of bad science,Replication of the natural selection of bad science,1.0,kohrt,kohrt,2023,2022,False,False,doi_o: 10.1098/rsos.160384,10.1098/rsos.160384,10.31222/osf.io/sjyp3,10.1098/rsos.221306
replication,10.1523/eneuro.0150-20.2020,10.31219/osf.io/pzy5q,auto_keep_1,auto: drop doi_2,No Evidence for an Object Working Memory Capacity Benefit with Extended Viewing Time,No Evidence for an Object Working Memory Capacity Benefit with Extended Viewing Time,1.0,quirk,quirk,2020,2020,False,True,doi_o: 10.1073/pnas.1520027113,10.1073/pnas.1520027113,10.31219/osf.io/pzy5q,10.1523/eneuro.0150-20.2020
replication,10.31234/osf.io/eu9cj,10.31234/osf.io/yt9n8,keep_both,override: keep_both,Second Replication of Finn &amp;amp; Hudson Kam (2008) Experiment 1,Second Replication of Finn &amp;amp; Hudson Kam (2008) Experiment 3,0.984,ricketts,ricketts,2022,2022,True,True,doi_o: 10.1016/j.cognition.2008.04.002,10.1016/j.cognition.2008.04.002,,
replication,10.1177/0956797620955209,10.31234/osf.io/m6ghr,auto_keep_1,auto: drop doi_2,"Preregistered Direct Replication of “Sick Body, Vigilant Mind: The Biological Immune System Activates the Behavioral Immune System”","Preregistered replication of “Sick body, vigilant mind: The biological immune system activates the behavioral immune system”",0.945,tybur,tybur,2020,2020,False,True,doi_o: 10.1177/0956797611420166,10.1177/0956797611420166,10.31234/osf.io/m6ghr,10.1177/0956797620955209
replication,10.31234/osf.io/b87v6_v1,10.1111/jpr.70034,auto_keep_2,auto: drop doi_1,A replication of system-threat paradigm in Japan: Pre-registered experiments using Bayes factor,A Replication of System‐Threat Paradigm in Japan: Preregistered Experiments Using Bayes Factor,1.0,kakimoto,kakimoto,2025,2026,True,False,doi_o: 10.1111/j.0956-7976.2005.00810.x,10.1111/j.0956-7976.2005.00810.x,10.31234/osf.io/b87v6_v1,10.1111/jpr.70034
